Feature CSV-159, Starts at 1510742284.72, Ends at 1510742403.53, Elapsed time 118.816020012
Feature CSV-175, Starts at 1510742407.49, Ends at 1510742842.21, Elapsed time 434.71599102
Feature CSV-180, Starts at 1510742846.07, Ends at 1510743181.65, Elapsed time 335.581530094
Feature CSV-179, Starts at 1510743185.5, Ends at 1510743515.02, Elapsed time 329.522335052
Feature PDFBOX-3418, Starts at 1510743555.5, Ends at 1510743859.77, Elapsed time 304.265941858
Feature PDFBOX-3262, Starts at 1510743895.16, Ends at 1510749725.62, Elapsed time 5830.46300697
Feature PDFBOX-3461, Starts at 1510749760.73, Ends at 1510753066.55, Elapsed time 3305.81200099
Feature PDFBOX-3069, Starts at 1510753101.97, Ends at 1510753227.46, Elapsed time 125.482317209
Feature PDFBOX-3307, Starts at 1510753252.45, Ends at 1510754351.62, Elapsed time 1099.17978501
Feature CONFIGURATION-466, Starts at 1510754363.44, Ends at 1510754969.55, Elapsed time 606.111871004
Feature CONFIGURATION-626, Starts at 1510754980.81, Ends at 1510755120.85, Elapsed time 140.038511992
Feature CONFIGURATION-624, Starts at 1510755128.92, Ends at 1510755461.84, Elapsed time 332.924232006
Feature COMPRESS-374, Starts at 1510755471.88, Ends at 1510756950.59, Elapsed time 1478.70999122
Feature COMPRESS-368, Starts at 1510756956.87, Ends at 1510758040.85, Elapsed time 1083.97468495
Feature COMPRESS-375, Starts at 1510758047.24, Ends at 1510758256.35, Elapsed time 209.116297007
Feature COMPRESS-313, Starts at 1510758262.66, Ends at 1510764809.6, Elapsed time 6546.94412708
Feature COMPRESS-296, Starts at 1510764815.01, Ends at 1510766666.87, Elapsed time 1851.86239314
Feature COMPRESS-369, Starts at 1510766673.63, Ends at 1510767626.89, Elapsed time 953.2525208
Feature COMPRESS-327, Starts at 1510767633.97, Ends at 1510770613.8, Elapsed time 2979.82245493
Feature COMPRESS-295, Starts at 1510770620.06, Ends at 1510770665.52, Elapsed time 45.4512269497
Feature COMPRESS-373, Starts at 1510770672.85, Ends at 1510771808.72, Elapsed time 1135.87557888
Feature LANG-1074, Starts at 1510806885.1918921, Ends at 1510807494.6799679, Elapsed time 609.4880757331848
Feature LANG-1119, Starts at 1510807501.3837965, Ends at 1510808135.2863283, Elapsed time 633.9025318622589
Feature LANG-944, Starts at 1510808143.5078523, Ends at 1510810410.4611294, Elapsed time 2266.9532771110535
Feature LANG-993, Starts at 1510810417.961471, Ends at 1510810924.403115, Elapsed time 506.44164395332336
Feature LANG-839, Starts at 1510810930.4208508, Ends at 1510813827.6943102, Elapsed time 2897.2734594345093
Feature LANG-825, Starts at 1510813833.7259634, Ends at 1510815479.5761127, Elapsed time 1645.8501493930817
Feature LANG-1033, Starts at 1510815487.3911552, Ends at 1510819318.684834, Elapsed time 3831.2936787605286
Feature LANG-1006, Starts at 1510819327.0634627, Ends at 1510820350.036153, Elapsed time 1022.9726903438568
Feature LANG-1021, Starts at 1510820358.29529, Ends at 1510827333.5161872, Elapsed time 6975.220897197723
Feature LANG-1050, Starts at 1510853893.4114804, Ends at 1510854596.147012, Elapsed time 702.7355315685272
Feature LANG-906, Starts at 1510854605.973523, Ends at 1510855152.676551, Elapsed time 546.7030282020569
Feature LANG-1088, Starts at 1510855161.0158775, Ends at 1510855253.4388094, Elapsed time 92.42293190956116
Feature LANG-841, Starts at 1510869861.2482495, Ends at 1510872700.4671142, Elapsed time 2839.2188646793365
Feature LANG-834, Starts at 1510872706.701592, Ends at 1510873662.927196, Elapsed time 956.225604057312
Feature LANG-999, Starts at 1510888718.1657047, Ends at 1510890077.7244446, Elapsed time 1359.558739900589
Feature NET-525, Starts at 1510890083.4679084, Ends at 1510890626.8077884, Elapsed time 543.339879989624
Feature NET-436, Starts at 1510890633.6247663, Ends at 1510890822.8451157, Elapsed time 189.2203493118286
Feature NET-527, Starts at 1510890827.2389657, Ends at 1510891435.4624257, Elapsed time 608.2234599590302
Feature FLUME-2628, Starts at 1510891516.746883, Ends at 1510891694.6489089, Elapsed time 177.90202593803406
Feature FLUME-2052, Starts at 1510891748.932336, Ends at 1510893143.870963, Elapsed time 1394.9386270046234
Feature FLUME-2130, Starts at 1510893178.1258554, Ends at 1510893695.4919038, Elapsed time 517.366048336029
Feature FLUME-2056, Starts at 1510893730.7608294, Ends at 1510894293.4215963, Elapsed time 562.6607668399811
Feature FLUME-1710, Starts at 1510894343.0516703, Ends at 1510894521.7068183, Elapsed time 178.6551480293274
Feature FLUME-2982, Starts at 1510894583.1592941, Ends at 1510898372.8446834, Elapsed time 3789.685389280319
Feature FLUME-2206, Starts at 1510898411.1317637, Ends at 1510899414.2862985, Elapsed time 1003.154534816742
Feature FLUME-2955, Starts at 1510899480.5618477, Ends at 1510900245.8234348, Elapsed time 765.2615871429443
Feature FLUME-2498, Starts at 1510900310.3874903, Ends at 1510901275.7324176, Elapsed time 965.3449273109436
Feature MNG-4910, Starts at 1510901307.4055095, Ends at 1510901843.6414442, Elapsed time 536.2359347343445
Feature MNG-5755, Starts at 1510901872.0561037, Ends at 1510902359.1617959, Elapsed time 487.1056921482086
Feature MNG-4909, Starts at 1510902382.0878398, Ends at 1510902997.0099044, Elapsed time 614.9220645427704
Feature MNG-5805, Starts at 1510903023.3493664, Ends at 1510904765.5037117, Elapsed time 1742.1543452739716
Feature MNG-5549, Starts at 1510904784.4337347, Ends at 1510906686.4828398, Elapsed time 1902.049105167389
Feature MNG-4904, Starts at 1510906708.9105175, Ends at 1510907229.4760664, Elapsed time 520.5655488967896
Feature MNG-5530, Starts at 1510907245.4194295, Ends at 1510907308.0249765, Elapsed time 62.605546951293945
Feature MNG-5754, Starts at 1510907329.8743331, Ends at 1510907914.1388144, Elapsed time 584.264481306076
Feature MNG-4953, Starts at 1510907937.9907725, Ends at 1510908860.5669782, Elapsed time 922.5762057304382
Feature MNG-5159, Starts at 1510908892.2088556, Ends at 1510910083.7480047, Elapsed time 1191.5391490459442
Feature MNG-5767, Starts at 1510910107.0489001, Ends at 1510915742.4732974, Elapsed time 5635.424397230148
Feature IO-144, Starts at 1510915759.4245062, Ends at 1510915820.9730043, Elapsed time 61.54849815368652
Feature IO-288, Starts at 1510915826.0268352, Ends at 1510915953.8573961, Elapsed time 127.83056092262268
Feature IO-297, Starts at 1510915958.2556205, Ends at 1510916442.5832067, Elapsed time 484.32758617401123
Feature IO-145, Starts at 1510916458.4615343, Ends at 1510917350.7833283, Elapsed time 892.3217940330505
Feature IO-129, Starts at 1510917366.3199947, Ends at 1510917913.0633645, Elapsed time 546.7433698177338
Feature IO-135, Starts at 1510917929.4965127, Ends at 1510919044.9757676, Elapsed time 1115.4792549610138
Feature IO-130, Starts at 1510919060.3753219, Ends at 1510919704.0902543, Elapsed time 643.7149324417114
Feature IO-153, Starts at 1510919720.4523053, Ends at 1510921624.712621, Elapsed time 1904.260315656662
Feature IO-148, Starts at 1510921640.2765632, Ends at 1510922553.9399357, Elapsed time 913.6633725166321
Feature IO-291, Starts at 1510922558.2512856, Ends at 1510922817.8375092, Elapsed time 259.5862236022949
